title,url,equipment,muscle,slug,instructions,difficulty,force,grips,mechanic
Landmine Concentration Curl,https://musclewiki.com/barbell/male/biceps/landmine-concentration-curl,barbell,biceps,landmine-concentration-curl,"[""Start on one knee facing the landmine, holding the end of the barbell with your hand on the side of your forward leg.\\"", ""While keeping your elbow braced against the inside of your knee, curl the barbell upward towards your shoulder, then lower it back down with control.\\"", ""Repeat for the desired number of reps before switching sides.\\""]",,,,
Landmine T Bar Rows,https://musclewiki.com/barbell/male/biceps/landmine-t-bar-rows,barbell,biceps,landmine-t-bar-rows,"[""Grab a v bar and place it under the bar's collar.\\"", ""Hinge forward with a flat back and pull your elbows straight back toward the ceiling.\\"", ""Fully extend your elbows before initiating the next rep.\\""]",,,,
Barbell Drag Curl,https://musclewiki.com/barbell/male/biceps/barbell-drag-curl,barbell,biceps,barbell-drag-curl,"[""Grab a barbell with an underhand grip.\\"", ""Pull your elbows straight back and let the bar drag against your upper body (or very close to it).\\""]",,,,
EZ Bar Reverse Preacher Curl,https://musclewiki.com/barbell/male/biceps/ez-bar-reverse-preacher-curl,barbell,biceps,ez-bar-reverse-preacher-curl,"[""Sit on preacher bench, grip EZ bar overhand at shoulder width, elbows resting on pad.\\"", ""Curl bar towards chin, keep elbows stable.\\"", ""Lower bar slowly to starting position, maintaining control throughout.\\""]",,,,
EZ Bar Preacher Curl,https://musclewiki.com/barbell/male/biceps/ez-bar-preacher-curl,barbell,biceps,ez-bar-preacher-curl,"[""Position yourself on preacher bench; grasp EZ bar with underhand grip, elbows extended.\\"", ""Slowly curl bar towards shoulders; keep upper arms stationary, focus on biceps.\\"", ""Lower bar back to starting position; maintain control, repeat for reps.\\""]",,,,
Dumbbell Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-curl,dumbbells,biceps,dumbbell-curl,"[""Stand up straight with a dumbbell in each hand at arm's length.\\"", ""Raise one dumbbell and twist your forearm until it is vertical and your palm faces the shoulder.\\"", ""Lower to original position and repeat with opposite arm\\""]",,,,
Dumbbell Hammer Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-hammer-curl,dumbbells,biceps,dumbbell-hammer-curl,"[""Hold the dumbbells with a neutral grip (thumbs facing the ceiling).\\"", ""Slowly lift the dumbbell up to chest height\\"", ""Return to starting position and repeat.\\""]",,,,
Dumbbell Reverse Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-reverse-curl,dumbbells,biceps,dumbbell-reverse-curl,"[""Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if it's more comfortable on your wrists.\\"", ""Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.\\""]",,,,
Dumbbell Rear Delt Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-rear-delt-row,dumbbells,biceps,dumbbell-rear-delt-row,"[""Hinge forward at the hips while maintaining a flat back. Try to get your torso as close to parallel with the ground as your mobility will allow for.\\"", ""Let your arms hang in front of you. Pull your elbows back towards the ceiling while flaring your elbows outward.\\""]",,,,
Dumbbell Incline Hammer Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-hammer-curl,dumbbells,biceps,dumbbell-incline-hammer-curl,"[""Hold the dumbbells with a neutral grip (thumbs facing the ceiling). Seated on an incline bench.\\"", ""Slowly lift the dumbbell up to chest height\\"", ""Return to starting position and repeat.\\""]",,,,
Dumbbell Incline Reverse Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-reverse-curl,dumbbells,biceps,dumbbell-incline-reverse-curl,"[""Lay on an incline bench.\\"", ""Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if it's more comfortable on your wrists.\\"", ""Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.\\""]",,,,
Dumbbell Incline Zottman Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-zottman-curl,dumbbells,biceps,dumbbell-incline-zottman-curl,"[""Lay on an incline bench with your palms facing forward.\\"", ""Flex at the elbows until your forearms touch your biceps.\\"", ""When you hit the top of the movement, rotate your palms and then lower the dumbbells slowly.\\""]",,,,
Dumbbell Alternating Pendlay Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-alternating-pendlay-row,dumbbells,biceps,dumbbell-alternating-pendlay-row,"[""The dumbbells should be set on the ground. Hinge forward while keeping a flat back.\\"", ""Pull one elbow back toward the ceiling and then return the dumbbell to the ground softly.\\"", ""Then pull with the other arm.\\""]",,,,
Dumbbell Kneeling Single Arm Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-kneeling-single-arm-row,dumbbells,biceps,dumbbell-kneeling-single-arm-row,"[""Place one hand and one knee on a bench. Make sure you keep a flat back.\\"", ""Pull the dumbbell toward the ceiling.\\"", ""Make sure to avoid any jerking or rotating.\\""]",,,,
Dumbbell Laying Incline Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-laying-incline-row,dumbbells,biceps,dumbbell-laying-incline-row,"[""Lay on an incline bench that is between 30-45 degrees high.\\"", ""Let your arms hang freely. Pull your elbows straight back toward the ceiling.\\""]",,,,
Dumbbell Pendlay Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-pendlay-row,dumbbells,biceps,dumbbell-pendlay-row,"[""The dumbbells should be placed on the floor.\\"", ""Hinge forward with a flat back and grab the dumbbells.\\"", ""Pull both dumbbells back and your elbows toward the ceiling.\\"", ""Return the dumbbells back to the floor softly on each rep.\\""]",,,,
Dumbbell Single Arm Preacher Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-preacher-curl,dumbbells,biceps,dumbbell-single-arm-preacher-curl,"[""Start with a with a dumbbell in one hand and your elbow resting on the bench.\\"", ""From this starting position, curl the dumbbell up towards your shoulder, keeping your upper arm stationary on the bench.\\""]",,,,
Dumbbell Single Arm Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-row,dumbbells,biceps,dumbbell-single-arm-row,"[""Start by standing in front of a flat bench with your feet shoulder-width apart and holding a dumbbell in one hand.\\"", ""Place your other hand on the bench for support, and bend at the waist so that your chest is parallel to the ground.\\"", ""From this starting position, row the dumbbell up towards your chest, squeezing your shoulder blade together as you do so.\\"", ""Make sure to keep your elbow close to your body and your core engaged throughout the movement.\\""]",,,,
Dumbbell Single Arm Row Knee,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-row-knee,dumbbells,biceps,dumbbell-single-arm-row-knee,"[""Start by placing your elbow on one knee.\\"", ""Hold a dumbbell in your other hand, with your palm facing inwards towards your body.\\"", ""From this starting position, row the dumbbell up towards your chest, keeping your elbow close to your body and your core engaged.\\""]",,,,
Dumbbell Single Arm Spider Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-spider-curl,dumbbells,biceps,dumbbell-single-arm-spider-curl,"[""Lay on an incline or preacher curl bench.\\"", ""Let your arms hang freely off the edge of the bench.\\"", ""Fully flex your elbow and fully extend your elbow on each rep.\\""]",,,,
Dumbbell Spider Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-spider-curl,dumbbells,biceps,dumbbell-spider-curl,"[""Start by placing your forearms on a flat bench and holding a dumbbell in each hand.\\"", ""From this starting position, curl the dumbbells up towards your shoulders, keeping your elbows close to your body and your core engaged.\\"", ""Slowly lower the dumbbells back down to the starting position, and repeat for the desired number of repetitions.\\""]",,,,
Dumbbell Twisting Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-twisting-curl,dumbbells,biceps,dumbbell-twisting-curl,"[""Start by standing with your feet shoulder-width apart and holding a dumbbell in each hand.\\"", ""Bring the dumbbells to your sides, with your palms facing inward and your elbows bent.\\"", ""From this starting position, curl the dumbbells up towards your shoulders while rotating your wrists so that your palms face your shoulders at the top of the movement.\\""]",,,,
Lawnmower Row,https://musclewiki.com/dumbbells/male/biceps/lawnmower-row,dumbbells,biceps,lawnmower-row,"[""Stand with feet staggered and one hand on a bench/box. Hold a dumbbell in the opposing hand.\\"", ""Hinge forward at the hips, keeping the back flat,  and eyes facing forward. The weight should hang directly below the shoulders.\\"", ""Start with an overhand grip, as you pull rotate the dumbbell. When your upper arm reaches your side your palm should be facing forward.\\""]",,,,
Dumbbell Concentration Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-concentration-curl,dumbbells,biceps,dumbbell-concentration-curl,"[""Sit on a flat bench with your feet flat on the floor and your back straight.\\"", ""Lean forward and place your elbow on the inside of your leg.\\"", ""Curl the dumbbell while keeping your elbow against your leg. Make sure to fully extend your elbow on each rep.\\""]",,,,
Dumbbell Knee Lawnmower Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-knee-lawnmower-row,dumbbells,biceps,dumbbell-knee-lawnmower-row,"[""Stand with feet staggered and one hand on your knee. Hold a dumbbell in the opposing hand.\\"", ""Hinge forward at the hips, keeping the back flat, and eyes facing forward. The weight should hang directly below the shoulders.\\"", ""Start with an overhand grip, as you pull rotate the dumbbell. When your upper arm reaches your side your palm should be facing forward.\\""]",,,,
Dumbbell Supinated Row,https://musclewiki.com/dumbbells/male/biceps/dumbbell-supinated-row,dumbbells,biceps,dumbbell-supinated-row,"[""Grab both dumbbells and hinge forward at the hips. Make sure you keep a flat back.\\"", ""The closer your torso is to parallel with the ground the longer the range of motion will be at your shoulder. The better the results you'll get from the exercise.\\"", ""Let your arms hang freely, maintain an underhand grip, and then pull your elbow joint straight back toward the ceiling.\\""]",,,,
Dumbbell Preacher Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-preacher-curl,dumbbells,biceps,dumbbell-preacher-curl,"[""Sit at preacher bench, hold dumbbells in each hand with arm extended, palm facing up.\\"", ""Curl dumbbells towards shoulder, keeping upper arm stationary and elbows in.\\"", ""Lower dumbbell slowly back to start.\\""]",,,,
Dumbbell Incline Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-incline-curl,dumbbells,biceps,dumbbell-incline-curl,"[""Hold the dumbbells with an underhand grip. Seated on an incline bench.\\"", ""Slowly lift the dumbbell up to chest height\\"", ""Return to starting position and repeat.\\""]",,,,
Dumbbell Weighted Chin Ups,https://musclewiki.com/dumbbells/male/biceps/dumbbell-weighted-chin-ups,dumbbells,biceps,dumbbell-weighted-chin-ups,"[""Grab the bar shoulder width apart with a supinated grip (palms facing you). Use a dip belt and the let the weight hang between your legs.\\"", ""With your body hanging and arms fully extended, pull yourself up until your chin is past the bar.\\"", ""Slowly return to starting position. Repeat.\\""]",,,,
Dumbbell Laying Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-laying-curl,dumbbells,biceps,dumbbell-laying-curl,"[""Hold the dumbbells with an underhand grip. Seated on a bench.\\"", ""Start with the dumbbells pointed toward the ceiling, then lower the dumbbells toward your sides.\\"", ""Fully extend your elbows, but don't let your upper arm fall behind your torso.\\""]",,,,
Dumbbell Bench Braced Rolling Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-bench-braced-rolling-curl,dumbbells,biceps,dumbbell-bench-braced-rolling-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips pushed toward the ceiling.\\"", ""Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Single Arm Bench Braced Reverse Flat Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-bench-braced-reverse-flat-curl,dumbbells,biceps,dumbbell-single-arm-bench-braced-reverse-flat-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips pushed toward the ceiling.\\"", ""Use an overhand grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Bench Braced Reverse Flat Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-bench-braced-reverse-flat-curl,dumbbells,biceps,dumbbell-bench-braced-reverse-flat-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips pushed toward the ceiling.\\"", ""Take an overhand grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Single Arm Bench Braced Hammer Flat Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-bench-braced-hammer-flat-curl,dumbbells,biceps,dumbbell-single-arm-bench-braced-hammer-flat-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips pushed toward the ceiling.\\"", ""Use a hammer grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Bench Braced Hammer Flat Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-bench-braced-hammer-flat-curl,dumbbells,biceps,dumbbell-bench-braced-hammer-flat-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips pushed toward the ceiling.\\"", ""Take a neutral grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Single Arm Bench Braced Flat Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-bench-braced-flat-curl,dumbbells,biceps,dumbbell-single-arm-bench-braced-flat-curl,"[""Lay off the side of a bench with the back of your working arm pressed into the side of the bench. Keep your hips all the way up.\\"", ""Fully extend your elbow and feel a stretch through your bicep, then curl.\\"", ""Stop before the dumbbell is pointed at the ceiling to keep tension on your biceps.\\""]",,,,
Dumbbell Bench Braced Flat Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-bench-braced-flat-curl,dumbbells,biceps,dumbbell-bench-braced-flat-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips pushed toward the ceiling.\\"", ""Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Single Arm Bench Braced Reverse Incline Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-bench-braced-reverse-incline-curl,dumbbells,biceps,dumbbell-single-arm-bench-braced-reverse-incline-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips lowered toward the floor.\\"", ""Take an overhand grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Bench Braced Reverse Incline Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-bench-braced-reverse-incline-curl,dumbbells,biceps,dumbbell-bench-braced-reverse-incline-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips lowered toward the floor.\\"", ""Take an overhand grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Single Arm Bench Braced Hammer Incline Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-bench-braced-hammer-incline-curl,dumbbells,biceps,dumbbell-single-arm-bench-braced-hammer-incline-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips down.\\"", ""Take a neutral grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Bench Braced Hammer Incline Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-bench-braced-hammer-incline-curl,dumbbells,biceps,dumbbell-bench-braced-hammer-incline-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips lowered toward the floor.\\"", ""Take a neutral grip. Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Single Arm Bench Braced Incline Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-single-arm-bench-braced-incline-curl,dumbbells,biceps,dumbbell-single-arm-bench-braced-incline-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips lowered toward the floor.\\"", ""Fully extend your elbows and then flex the elbows.\\""]",,,,
Dumbbell Bench Braced Incline Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-bench-braced-incline-curl,dumbbells,biceps,dumbbell-bench-braced-incline-curl,"[""Lay off the side of a bench and place the back off your arms on the edge of your bench. Keep your hips lowered toward the floor.\\"", ""Fully extend your elbows and then flex the elbows.\\""]",,,,
Chin Ups,https://musclewiki.com/bodyweight/male/biceps/chin-ups,bodyweight,biceps,chin-ups,"[""Grab the bar shoulder width apart with a supinated grip (palms facing you)\\"", ""With your body hanging and arms fully extended, pull yourself up until your chin is past the bar.\\"", ""Slowly return to starting position. Repeat.\\""]",,,,
Ring Row,https://musclewiki.com/bodyweight/male/biceps/ring-row,bodyweight,biceps,ring-row,"[""Set up rings at a high point.\\"", ""Grip rings and lean back, arms extended.\\"", ""Pull chest to rings, keeping body straight.\\""]",,,,
Ring Curl,https://musclewiki.com/bodyweight/male/biceps/ring-curl,bodyweight,biceps,ring-curl,"[""Stand holding gymnastic rings with your arms extended in front of you, palms facing up.\\"", ""Curl rings towards shoulders, squeezing biceps.\\"", ""Slowly lower rings back to starting position, keeping control. Repeat.\\""]",,,,
Bodyweight Assisted Pull Up,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-pull-up,bodyweight,biceps,bodyweight-assisted-pull-up,"[""Grasp the chin-up bar with an overhand grip, shoulder-width apart.\\"", ""Place your feet on the ground, legs bent slightly.\\"", ""Use your legs to assist as you pull your chin above the bar.\\""]",,,,
Bodyweight Assisted Chin Up,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-chin-up,bodyweight,biceps,bodyweight-assisted-chin-up,"[""Grasp the chin-up bar with an underhand grip, shoulder-width apart.\\"", ""Place your feet on the ground, legs bent slightly.\\"", ""Use your legs to assist as you pull your chin above the bar.\\""]",,,,
Bodyweight Assisted Gironda Chin Up,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-gironda-chin-up,bodyweight,biceps,bodyweight-assisted-gironda-chin-up,"[""Grasp the chin-up bar with an underhand grip, shoulder-width apart.\\"", ""Place your feet on the ground, legs bent slightly.\\"", ""Use your legs to assist as you pull your chest to the bar.\\""]",,,,
Bodyweight Assisted Mixed Grip Pullup,https://musclewiki.com/bodyweight/male/biceps/bodyweight-assisted-mixed-grip-pullup,bodyweight,biceps,bodyweight-assisted-mixed-grip-pullup,"[""Grasp the chin-up bar with a mixed grip, shoulder-width apart.\\"", ""Place your feet on the ground, legs bent slightly.\\"", ""Use your legs to assist as you pull your chin above the bar.\\""]",,,,
Bodyweight Underhand Inverted Row,https://musclewiki.com/bodyweight/male/biceps/bodyweight-underhand-inverted-row,bodyweight,biceps,bodyweight-underhand-inverted-row,"[""Lay underneath a fixed horizontal bar and grab the bar with an underhand grip.\\"", ""Pull your body straight up to the bar.\\"", ""Return to the starting position, your arms fully extended. Repeat.\\""]",,,,
Bodyweight Concentration Curl,https://musclewiki.com/bodyweight/male/biceps/bodyweight-concentration-curl,bodyweight,biceps,bodyweight-concentration-curl,"[""Place your elbow on one knee and your hand underneath the other leg. Keep the leg that's over your hand extended.\\"", ""Curl the working arm and use your leg as the resistance.\\""]",,,,
Bodyweight Inverted Curl,https://musclewiki.com/bodyweight/male/biceps/bodyweight-inverted-curl,bodyweight,biceps,bodyweight-inverted-curl,"[""Hang from a bar with your feet on the floor.\\"", ""Break at the elbows and curl your body towards the bar.\\""]",,,,
Bodyweight Close Grip Inverted Curl,https://musclewiki.com/bodyweight/male/biceps/bodyweight-close-grip-inverted-curl,bodyweight,biceps,bodyweight-close-grip-inverted-curl,"[""Grab the bar with a close grip. Feet on the floor.\\"", ""Break at the elbow and curl your body toward the bar.\\""]",,,,
L Sit Chin Up,https://musclewiki.com/bodyweight/male/biceps/l-sit-chin-up,bodyweight,biceps,l-sit-chin-up,"[""Grab the bar shoulder width apart with a supinated grip (palms facing you)\\"", ""With your body in an \\\\"", ""Slowly return to starting position. Repeat.\\""]",,,,
Gironda Chin Up,https://musclewiki.com/bodyweight/male/biceps/gironda-chin-up,bodyweight,biceps,gironda-chin-up,"[""Grab the bar shoulder width apart with a supinated grip (palms facing you)\\"", ""With your body hanging and arms fully extended, pull yourself up and lean backwards. Try to touch your chest to the bar.\\"", ""Slowly return to starting position. Repeat.\\""]",,,,
Ring Chin Up,https://musclewiki.com/bodyweight/male/biceps/ring-chin-up,bodyweight,biceps,ring-chin-up,"[""Grab the rings shoulder width apart with a supinated grip (palms facing you)\\"", ""With your body hanging and arms fully extended, pull yourself up until your chin is past the rings.\\"", ""Slowly return to starting position. Repeat.\\""]",,,,
Ring Twisting Chin Up,https://musclewiki.com/bodyweight/male/biceps/ring-twisting-chin-up,bodyweight,biceps,ring-twisting-chin-up,"[""Grab the rings shoulder width apart with a pronated grip (palms facing away).\\"", ""With your body hanging and arms fully extended, pull yourself up and rotate your fists until your chin is past the rings.\\"", ""Slowly return to starting position. Repeat.\\""]",,,,
Machine Seated Cable Row,https://musclewiki.com/machine/male/biceps/machine-seated-cable-row,machine,biceps,machine-seated-cable-row,"[""Sit with your back straight on the machine and grip the handles.\\"", ""Pull the handles back using your arms. Your legs and torso should be at a 90\u00b0 angle. Push out your chest.\\"", ""Pull the handles towards your body until your hands are beside your abdomen.\\""]",,,,
Narrow Pulldown,https://musclewiki.com/machine/male/biceps/narrow-pulldown,machine,biceps,narrow-pulldown,"[""Use the Straight Bar attachment.\\"", ""Hold the attachment as you sit on the machine and put your legs under the leg pads.\\"", ""Pull the bar to your clavicle, then raise back up until your arm are extended.\\""]",,,,
Neutral Pulldown,https://musclewiki.com/machine/male/biceps/neutral-pulldown,machine,biceps,neutral-pulldown,"[""Use the V Bar attachment.\\"", ""Hold the attachment as you sit on the machine and put your legs under the leg pads.\\"", ""Pull the bar to your clavicle, then raise back up until your arm are extended.\\""]",,,,
Underhand Pulldown,https://musclewiki.com/machine/male/biceps/underhand-pulldown,machine,biceps,underhand-pulldown,"[""Use the Straight Bar attachment. Hold with an underhand grip.\\"", ""Hold the attachment as you sit on the machine and put your legs under the leg pads.\\"", ""Pull the bar to your clavicle, then raise back up until your arm are extended.\\""]",,,,
Machine Assisted Pull Up,https://musclewiki.com/machine/male/biceps/machine-assisted-pull-up,machine,biceps,machine-assisted-pull-up,"[""Adjust weight for assistance. Stand on platform, grip handles above shoulder-width. Knees on pad if available.\\"", ""Slowly pull up until chin is above the bar. Keep elbows close, core engaged.\\"", ""Lower back with control. Pause at bottom. Repeat for reps.\\""]",,,,
Machine Assisted Narrow Pull Up,https://musclewiki.com/machine/male/biceps/machine-assisted-narrow-pull-up,machine,biceps,machine-assisted-narrow-pull-up,"[""Adjust weight for assistance. Stand on platform, grip handles above shoulder-width. Knees on pad if available.\\"", ""Slowly pull up until chin is above the bar. Keep elbows close, core engaged.\\"", ""Lower back with control. Pause at bottom. Repeat for reps.\\""]",,,,
Machine Assisted Neutral Chin Up,https://musclewiki.com/machine/male/biceps/machine-assisted-neutral-chin-up,machine,biceps,machine-assisted-neutral-chin-up,"[""Adjust weight for assistance. Stand on platform, grip handles above shoulder-width. Knees on pad if available.\\"", ""Slowly pull up until chin is above the bar. Keep elbows close, core engaged.\\"", ""Lower back with control. Pause at bottom. Repeat for reps.\\""]",,,,
Machine Assisted Chin Up,https://musclewiki.com/machine/male/biceps/machine-assisted-chin-up,machine,biceps,machine-assisted-chin-up,"[""Adjust weight for assistance. Stand on platform, grip handles above shoulder-width. Knees on pad if available.\\"", ""Slowly pull up until chin is above the bar. Keep elbows close, core engaged.\\"", ""Lower back with control. Pause at bottom. Repeat for reps.\\""]",,,,
Machine Underhand Row,https://musclewiki.com/machine/male/biceps/machine-underhand-row,machine,biceps,machine-underhand-row,"[""Sit on the machine, feet flat, and grab the handles with palms facing up, keeping your back straight.\\"", ""Pull handles towards your lower abdomen, squeezing your shoulder blades together. Keep elbows close to your body.\\"", ""Slowly return to the starting position, fully extending your arms without locking elbows. Repeat for desired reps.\\""]",,,,
